,Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_URL,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Team2_Name,Custom_Opponent,Event_ID,Game_ID,Affects_Standings,Points_Win,Points_Loss,Points_Tie,Points_OT_Win,Points_OT_Loss,Division_Override
0,9/17/22,9:00,9/17/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-02-22,,1.0,MCHKN-09-22,,,,,,,,,,,,
1,9/17/22,9:00,9/17/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-01-22,,1.0,MCHKN-07-22,,,,,,,,,,,,
2,9/17/22,9:00,9/17/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-04-22,,1.0,MCHKN-08-22,,,,,,,,,,,,
3,9/17/22,9:00,9/17/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-01-22,,1.0,MCHKN-03-22,,,,,,,,,,,,
4,9/17/22,9:00,9/17/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN-06-22,,1.0,MCHKN-05-22,,,,,,,,,,,,
5,9/17/22,9:00,9/17/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN-01-22,,1.0,MCHKN-01-22,,,,,,,,,,,,
6,9/24/22,9:00,9/24/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-03-22,,1.0,MCHKN-01-22,,,,,,,,,,,,
7,9/24/22,9:00,9/24/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-05-22,,1.0,MCHKN-07-22,,,,,,,,,,,,
8,9/24/22,9:00,9/24/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-08-22,,1.0,MCHKN-01-22,,,,,,,,,,,,
9,9/24/22,9:00,9/24/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-09-22,,1.0,MCHKN-01-22,,,,,,,,,,,,
10,9/24/22,9:00,9/24/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN-01-22,,1.0,MCHKN-04-22,,,,,,,,,,,,
11,9/24/22,9:00,9/24/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN-02-22,,1.0,MCHKN-06-22,,,,,,,,,,,,
12,10/1/22,9:00,10/1/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-01-22,,1.0,MCHKN-03-22,,,,,,,,,,,,
13,10/1/22,9:00,10/1/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-04-22,,1.0,MCHKN-05-22,,,,,,,,,,,,
14,10/1/22,9:00,10/1/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-07-22,,1.0,MCHKN-02-22,,,,,,,,,,,,
15,10/1/22,9:00,10/1/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-01-22,,1.0,MCHKN-09-22,,,,,,,,,,,,
16,10/1/22,9:00,10/1/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN-01-22,,1.0,MCHKN-06-22,,,,,,,,,,,,
17,10/1/22,9:00,10/1/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN-08-22,,1.0,MCHKN-01-22,,,,,,,,,,,,
18,10/8/22,9:00,10/8/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-01-22,,1.0,MCHKN-07-22,,,,,,,,,,,,
19,10/8/22,9:00,10/8/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-05-22,,1.0,MCHKN-08-22,,,,,,,,,,,,
20,10/8/22,9:00,10/8/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN-02-22,,1.0,MCHKN-04-22,,,,,,,,,,,,
