Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_URL,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Team2_Name,Custom_Opponent,Event_ID,Game_ID,Affects_Standings,Points_Win,Points_Loss,Points_Tie,Points_OT_Win,Points_OT_Loss,Division_Override
9/17/22,9:00,9/17/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN2,,1,MCHKN9,,,,,,,,,,,,
9/17/22,9:00,9/17/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN11,,1,MCHKN7,,,,,,,,,,,,
9/17/22,9:00,9/17/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN4,,1,MCHKN8,,,,,,,,,,,,
9/17/22,9:00,9/17/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN12,,1,MCHKN3,,,,,,,,,,,,
9/17/22,9:00,9/17/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN6,,1,MCHKN5,,,,,,,,,,,,
9/17/22,9:00,9/17/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN10,,1,MCHKN1,,,,,,,,,,,,
9/24/22,9:00,9/24/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN3,,1,MCHKN1,,,,,,,,,,,,
9/24/22,9:00,9/24/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN5,,1,MCHKN7,,,,,,,,,,,,
9/24/22,9:00,9/24/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN8,,1,MCHKN10,,,,,,,,,,,,
9/24/22,9:00,9/24/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN9,,1,MCHKN12,,,,,,,,,,,,
9/24/22,9:00,9/24/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN11,,1,MCHKN4,,,,,,,,,,,,
9/24/22,9:00,9/24/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN2,,1,MCHKN6,,,,,,,,,,,,
10/1/22,9:00,10/1/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN10,,1,MCHKN3,,,,,,,,,,,,
10/1/22,9:00,10/1/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN4,,1,MCHKN5,,,,,,,,,,,,
10/1/22,9:00,10/1/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN7,,1,MCHKN2,,,,,,,,,,,,
10/1/22,9:00,10/1/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN1,,1,MCHKN9,,,,,,,,,,,,
10/1/22,9:00,10/1/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN12,,1,MCHKN6,,,,,,,,,,,,
10/1/22,9:00,10/1/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN8,,1,MCHKN11,,,,,,,,,,,,
10/8/22,9:00,10/8/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN12,,1,MCHKN7,,,,,,,,,,,,
10/8/22,9:00,10/8/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN5,,1,MCHKN8,,,,,,,,,,,,
10/8/22,9:00,10/8/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN2,,1,MCHKN4,,,,,,,,,,,,
10/8/22,9:00,10/8/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN9,,1,MCHKN3,,,,,,,,,,,,
10/8/22,9:00,10/8/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN11,,1,MCHKN10,,,,,,,,,,,,
10/8/22,9:00,10/8/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN1,,1,MCHKN6,,,,,,,,,,,,
10/15/22,9:00,10/15/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN6,,1,MCHKN3,,,,,,,,,,,,
10/15/22,9:00,10/15/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN4,,1,MCHKN12,,,,,,,,,,,,
10/15/22,9:00,10/15/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN10,,1,MCHKN9,,,,,,,,,,,,
10/15/22,9:00,10/15/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN11,,1,MCHKN5,,,,,,,,,,,,
10/15/22,9:00,10/15/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN7,,1,MCHKN1,,,,,,,,,,,,
10/15/22,9:00,10/15/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN8,,1,MCHKN2,,,,,,,,,,,,
10/22/22,9:00,10/22/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN3,,1,MCHKN7,,,,,,,,,,,,
10/22/22,9:00,10/22/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN1,,1,MCHKN4,,,,,,,,,,,,
10/22/22,9:00,10/22/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN2,,1,MCHKN11,,,,,,,,,,,,
10/22/22,9:00,10/22/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN9,,1,MCHKN6,,,,,,,,,,,,
10/22/22,9:00,10/22/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN5,,1,MCHKN10,,,,,,,,,,,,
10/22/22,9:00,10/22/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN12,,1,MCHKN8,,,,,,,,,,,,
10/29/22,9:00,10/29/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN6,,1,MCHKN10,,,,,,,,,,,,
10/29/22,9:00,10/29/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN7,,1,MCHKN9,,,,,,,,,,,,
10/29/22,9:00,10/29/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN8,,1,MCHKN1,,,,,,,,,,,,
10/29/22,9:00,10/29/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN4,,1,MCHKN3,,,,,,,,,,,,
10/29/22,9:00,10/29/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN5,,1,MCHKN2,,,,,,,,,,,,
10/29/22,9:00,10/29/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN11,,1,MCHKN12,,,,,,,,,,,,
11/5/22,9:00,11/5/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN12,,1,MCHKN5,,,,,,,,,,,,
11/5/22,9:00,11/5/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN9,,1,MCHKN4,,,,,,,,,,,,
11/5/22,9:00,11/5/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN3,,1,MCHKN8,,,,,,,,,,,,
11/5/22,9:00,11/5/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN10,,1,MCHKN2,,,,,,,,,,,,
11/5/22,9:00,11/5/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN1,,1,MCHKN11,,,,,,,,,,,,
11/5/22,9:00,11/5/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN6,,1,MCHKN7,,,,,,,,,,,,
11/12/22,9:00,11/12/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN4,,1,MCHKN6,,,,,,,,,,,,
11/12/22,9:00,11/12/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN2,,1,MCHKN12,,,,,,,,,,,,
11/12/22,9:00,11/12/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN8,,1,MCHKN9,,,,,,,,,,,,
11/12/22,9:00,11/12/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN5,,1,MCHKN1,,,,,,,,,,,,
11/12/22,9:00,11/12/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN3,,1,MCHKN11,,,,,,,,,,,,
11/12/22,9:00,11/12/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN7,,1,MCHKN10,,,,,,,,,,,,
11/19/22,9:00,11/19/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN7,,1,MCHKN4,,,,,,,,,,,,
11/19/22,9:00,11/19/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN3,,1,MCHKN5,,,,,,,,,,,,
11/19/22,9:00,11/19/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN10,,1,MCHKN12,,,,,,,,,,,,
11/19/22,9:00,11/19/22,10:30,Training/Game,,Softball Outfield,,Caven Point,0,Game,,MCHKN1,,1,MCHKN2,,,,,,,,,,,,
11/19/22,9:00,11/19/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN6,,1,MCHKN8,,,,,,,,,,,,
11/19/22,9:00,11/19/22,10:30,Training/Game,,Baseball Outfield,,Caven Point,0,Game,,MCHKN9,,1,MCHKN11,,,,,,,,,,,,
9/17/22,8:30,9/17/22,9:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS15,,1,JCSS16,,,,,,,,,,,,
9/17/22,8:30,9/17/22,9:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS20,,1,JCSS21,,,,,,,,,,,,
9/17/22,9:30,9/17/22,10:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS18,,1,JCSS19,,,,,,,,,,,,
9/17/22,9:30,9/17/22,10:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS17,,1,JCSS13,,,,,,,,,,,,
9/17/22,10:30,9/17/22,11:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS14,,1,JCSS22,,,,,,,,,,,,
9/24/22,8:30,9/24/22,9:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS16,,1,JCSS20,,,,,,,,,,,,
9/24/22,8:30,9/24/22,9:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS15,,1,JCSS17,,,,,,,,,,,,
9/24/22,9:30,9/24/22,10:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS21,,1,JCSS14,,,,,,,,,,,,
9/24/22,9:30,9/24/22,10:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS19,,1,JCSS22,,,,,,,,,,,,
9/24/22,10:30,9/24/22,11:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS13,,1,JCSS18,,,,,,,,,,,,
10/1/22,8:30,10/1/22,9:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS21,,1,JCSS16,,,,,,,,,,,,
10/1/22,8:30,10/1/22,9:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS18,,1,JCSS15,,,,,,,,,,,,
10/1/22,9:30,10/1/22,10:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS20,,1,JCSS17,,,,,,,,,,,,
10/1/22,9:30,10/1/22,10:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS14,,1,JCSS19,,,,,,,,,,,,
10/1/22,10:30,10/1/22,11:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS22,,1,JCSS13,,,,,,,,,,,,
10/8/22,8:30,10/8/22,9:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS20,,1,JCSS18,,,,,,,,,,,,
10/8/22,8:30,10/8/22,9:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS13,,1,JCSS19,,,,,,,,,,,,
10/8/22,9:30,10/8/22,10:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS17,,1,JCSS21,,,,,,,,,,,,
10/8/22,9:30,10/8/22,10:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS15,,1,JCSS22,,,,,,,,,,,,
10/8/22,10:30,10/8/22,11:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS16,,1,JCSS14,,,,,,,,,,,,
10/15/22,8:30,10/15/22,9:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS19,,1,JCSS15,,,,,,,,,,,,
10/15/22,8:30,10/15/22,9:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS22,,1,JCSS20,,,,,,,,,,,,
10/15/22,9:30,10/15/22,10:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS17,,1,JCSS16,,,,,,,,,,,,
10/15/22,9:30,10/15/22,10:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS18,,1,JCSS21,,,,,,,,,,,,
10/15/22,10:30,10/15/22,11:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS14,,1,JCSS13,,,,,,,,,,,,
10/22/22,8:30,10/22/22,9:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS20,,1,JCSS19,,,,,,,,,,,,
10/22/22,8:30,10/22/22,9:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS16,,1,JCSS18,,,,,,,,,,,,
10/22/22,9:30,10/22/22,10:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS17,,1,JCSS14,,,,,,,,,,,,
10/22/22,9:30,10/22/22,10:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS15,,1,JCSS13,,,,,,,,,,,,
10/22/22,10:30,10/22/22,11:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS21,,1,JCSS22,,,,,,,,,,,,
10/29/22,8:30,10/29/22,9:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS19,,1,JCSS21,,,,,,,,,,,,
10/29/22,8:30,10/29/22,9:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS22,,1,JCSS16,,,,,,,,,,,,
10/29/22,9:30,10/29/22,10:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS13,,1,JCSS20,,,,,,,,,,,,
10/29/22,9:30,10/29/22,10:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS14,,1,JCSS15,,,,,,,,,,,,
10/29/22,10:30,10/29/22,11:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS18,,1,JCSS17,,,,,,,,,,,,
11/5/22,8:30,11/5/22,9:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS20,,1,JCSS15,,,,,,,,,,,,
11/5/22,8:30,11/5/22,9:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS17,,1,JCSS22,,,,,,,,,,,,
11/5/22,9:30,11/5/22,10:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS21,,1,JCSS13,,,,,,,,,,,,
11/5/22,9:30,11/5/22,10:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS18,,1,JCSS14,,,,,,,,,,,,
11/5/22,10:30,11/5/22,11:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS16,,1,JCSS19,,,,,,,,,,,,
11/12/22,8:30,11/12/22,9:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS15,,1,JCSS21,,,,,,,,,,,,
11/12/22,8:30,11/12/22,9:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS19,,1,JCSS17,,,,,,,,,,,,
11/12/22,9:30,11/12/22,10:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS14,,1,JCSS20,,,,,,,,,,,,
11/12/22,9:30,11/12/22,10:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS22,,1,JCSS18,,,,,,,,,,,,
11/12/22,10:30,11/12/22,11:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS13,,1,JCSS16,,,,,,,,,,,,
11/19/22,8:30,11/19/22,9:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS22,,1,JCSS14,,,,,,,,,,,,
11/19/22,8:30,11/19/22,9:30,Game,,Rear- Caven Point,,Caven Point,0,Game,,JCSS19,,1,JCSS18,,,,,,,,,,,,
11/19/22,9:30,11/19/22,10:30,Game,,Front - Caven Point,,Caven Point,0,Game,,JCSS21,,1,JCSS20,,,,,,,,,,,,
